Product_Type,Product_Name,Features,Compatible_With
GPU,GPU 1,Low power,GPU 1; GPU 2; Motherboard 1; Motherboard 2; CPU 1; CPU 2; RAM 1; RAM 2; SSD 1; SSD 2; HDD 1; HDD 2
GPU,GPU 2,Medium power,GPU 1; GPU 2; GPU 3; Motherboard 1; Motherboard 2; Motherboard 3; CPU 1; CPU 2; CPU 3; RAM 1; RAM 2; RAM 3; SSD 1; SSD 2; SSD 3; HDD 1; HDD 2; HDD 3
GPU,GPU 3,High power,GPU 2; GPU 3; GPU 4; Motherboard 2; Motherboard 3; Motherboard 4; CPU 2; CPU 3; CPU 4; RAM 2; RAM 3; RAM 4; SSD 2; SSD 3; SSD 4; HDD 2; HDD 3; HDD 4
GPU,GPU 4,Very high power,GPU 3; GPU 4; GPU 5; Motherboard 3; Motherboard 4; Motherboard 5; CPU 3; CPU 4; CPU 5; RAM 3; RAM 4; RAM 5; SSD 3; SSD 4; SSD 5; HDD 3; HDD 4; HDD 5
GPU,GPU 5,Extreme power,GPU 4; GPU 5; Motherboard 4; Motherboard 5; CPU 4; CPU 5; RAM 4; RAM 5; SSD 4; SSD 5; HDD 4; HDD 5
CPU,CPU 1,Low power,Motherboard 1; Motherboard 2; GPU 1; GPU 2; RAM 1; RAM 2; SSD 1; SSD 2; HDD 1; HDD 2
CPU,CPU 2,Medium power,Motherboard 1; Motherboard 2; Motherboard 3; GPU 1; GPU 2; GPU 3; RAM 1; RAM 2; RAM 3; SSD 1; SSD 2; SSD 3; HDD 1; HDD 2; HDD 3
CPU,CPU 3,High power,Motherboard 2; Motherboard 3; Motherboard 4; GPU 2; GPU 3; GPU 4; RAM 2; RAM 3; RAM 4; SSD 2; SSD 3; SSD 4; HDD 2; HDD 3; HDD 4
CPU,CPU 4,Very high power,Motherboard 3; Motherboard 4; Motherboard 5; GPU 3; GPU 4; GPU 5; RAM 3; RAM 4; RAM 5; SSD 3; SSD 4; SSD 5; HDD 3; HDD 4; HDD 5
CPU,CPU 5,Extreme power,Motherboard 4; Motherboard 5; GPU 4; GPU 5; RAM 4; RAM 5; SSD 4; SSD 5; HDD 4; HDD 5
RAM,RAM 1,Low capacity,Motherboard 1; Motherboard 2; GPU 1; GPU 2; CPU 1; CPU 2; SSD 1; SSD 2; HDD 1; HDD 2
RAM,RAM 2,Medium capacity,Motherboard 1; Motherboard 2; Motherboard 3; GPU 1; GPU 2; GPU 3; CPU 1; CPU 2; CPU 3; SSD 1; SSD 2; SSD 3; HDD 1; HDD 2; HDD 3
RAM,RAM 3,High capacity,Motherboard 2; Motherboard 3; Motherboard 4; GPU 2; GPU 3; GPU 4; CPU 2; CPU 3; CPU 4; SSD 2; SSD 3; SSD 4; HDD 2; HDD 3; HDD 4
RAM,RAM 4,Very high capacity,Motherboard 3; Motherboard 4; Motherboard 5; GPU 3; GPU 4; GPU 5; CPU 3; CPU 4; CPU 5; SSD 3; SSD 4; SSD 5; HDD 3; HDD 4; HDD 5
RAM,RAM 5,Extreme capacity,Motherboard 4; Motherboard 5; GPU 4; GPU 5; CPU 4; CPU 5; SSD 4; SSD 5; HDD 4; HDD 5
SSD,SSD 1,Low storage,Motherboard 1; Motherboard 2; GPU 1; GPU 2; CPU 1; CPU 2; RAM 1; RAM 2; HDD 1; HDD 2
SSD,SSD 2,Medium storage,Motherboard 1; Motherboard 2; Motherboard 3; GPU 1; GPU 2; GPU 3; CPU 1; CPU 2; CPU 3; RAM 1; RAM 2; RAM 3; HDD 1; HDD 2; HDD 2
